Pais,Liga,Club,ArchivoAGuardar
"España","La Liga","Sevilla","sevilla-es.png"
"España","La Liga","Valencia","valencia-es.png"
"España","La Liga","Girona","girona-es.png"
"España","La Liga","Osasuna","osasuna-es.png"
"España","La Liga","Celta de Vigo","celta-de-vigo-es.png"
"España","La Liga","Rayo Vallecano","rayo-vallecano-es.png"
"España","La Liga","Getafe","getafe-es.png"
"España","La Liga","Mallorca","mallorca-es.png"
"España","La Liga","Las Palmas","las-palmas-es.png"
"España","LaLiga 2","Deportivo La Coruña","deportivo-la-coruna-es.png"
"España","LaLiga 2","Real Zaragoza","real-zaragoza-es.png"
"España","LaLiga 2","Sporting de Gijón","sporting-de-gijon-es.png"
"España","LaLiga 2","Racing de Santander","racing-de-santander-es.png"
"España","LaLiga 2","Levante","levante-es.png"
"España","LaLiga 2","Eibar","eibar-es.png"
"España","LaLiga 2","Albacete","albacete-es.png"
"España","LaLiga 2","Cartagena","cartagena-es.png"
"España","LaLiga 2","Elche","elche-es.png"
"España","LaLiga 2","Tenerife","tenerife-es.png"
"Italia","Serie A","Inter de Milán","inter-de-milan-it.png"
"Italia","Serie A","AC Milan","ac-milan-it.png"
"Italia","Serie A","Juventus","juventus-it.png"
"Italia","Serie A","Napoli","napoli-it.png"
"Italia","Serie A","Roma","roma-it.png"
"Italia","Serie A","Lazio","lazio-it.png"
"Italia","Serie A","Atalanta","atalanta-it.png"
"Italia","Serie A","Fiorentina","fiorentina-it.png"
"Italia","Serie A","Bologna","bologna-it.png"
"Italia","Serie A","Torino","torino-it.png"
"Italia","Serie A","Udinese","udinese-it.png"
"Italia","Serie A","Sassuolo","sassuolo-it.png"
"Italia","Serie A","Genoa","genoa-it.png"
"Italia","Serie A","Cagliari","cagliari-it.png"
"Italia","Serie B","Parma","parma-it.png"
"Italia","Serie B","Palermo","palermo-it.png"
"Italia","Serie B","Bari","bari-it.png"
"Italia","Serie B","Sampdoria","sampdoria-it.png"
"Italia","Serie B","Venezia","venezia-it.png"
"Italia","Serie B","Cremonese","cremonese-it.png"
"Italia","Serie B","Cosenza","cosenza-it.png"
"Italia","Serie B","Catanzaro","catanzaro-it.png"
"Alemania","Bundesliga","Bayern Múnich","bayern-munich-de.png"
"Alemania","Bundesliga","Borussia Dortmund","borussia-dortmund-de.png"
"Alemania","Bundesliga","RB Leipzig","rb-leipzig-de.png"
"Alemania","Bundesliga","Bayer Leverkusen","bayer-leverkusen-de.png"
"Alemania","Bundesliga","Eintracht Frankfurt","eintracht-frankfurt-de.png"
"Alemania","Bundesliga","VfB Stuttgart","vfb-stuttgart-de.png"
"Alemania","Bundesliga","Borussia M'gladbach","borussia-m-gladbach-de.png"
"Alemania","Bundesliga","Wolfsburgo","wolfsburgo-de.png"
"Alemania","Bundesliga","Friburgo","friburgo-de.png"
"Alemania","Bundesliga","Union Berlin","union-berlin-de.png"
"Alemania","Bundesliga","Hoffenheim","hoffenheim-de.png"
"Alemania","Bundesliga","Mainz 05","mainz-05-de.png"
"Alemania","Bundesliga","Werder Bremen","werder-bremen-de.png"
"Alemania","Bundesliga","Colonia","colonia-de.png"
"Alemania","2. Bundesliga","Hamburger SV","hamburger-sv-de.png"
"Alemania","2. Bundesliga","Schalke 04","schalke-04-de.png"
"Alemania","2. Bundesliga","Hertha Berlín","hertha-berlin-de.png"
"Alemania","2. Bundesliga","Fortuna Düsseldorf","fortuna-dusseldorf-de.png"
"Alemania","2. Bundesliga","Greuther Fürth","greuther-furth-de.png"
"Alemania","2. Bundesliga","Osnabrück","osnabruck-de.png"
"Alemania","2. Bundesliga","Nürnberg","nurnberg-de.png"
"Alemania","2. Bundesliga","Kaiserslautern","kaiserslautern-de.png"
"Francia","Ligue 1","Paris Saint-Germain","paris-saint-germain-fr.png"
"Francia","Ligue 1","Olympique de Marsella","olympique-de-marsella-fr.png"
"Francia","Ligue 1","AS Mónaco","as-monaco-fr.png"
"Francia","Ligue 1","Olympique de Lyon","olympique-de-lyon-fr.png"
"Francia","Ligue 1","Lille","lille-fr.png"
"Francia","Ligue 1","Rennes","rennes-fr.png"
"Francia","Ligue 1","Niza","niza-fr.png"
"Francia","Ligue 1","Lens","lens-fr.png"
"Francia","Ligue 1","Estrasburgo","estrasburgo-fr.png"
"Francia","Ligue 1","Nantes","nantes-fr.png"
"Francia","Ligue 1","Toulouse","toulouse-fr.png"
"Francia","Ligue 1","Montpellier","montpellier-fr.png"
"Francia","Ligue 1","Brest","brest-fr.png"
"Francia","Ligue 1","Reims","reims-fr.png"
"Francia","Ligue 2","Saint-Étienne","saint-etienne-fr.png"
"Francia","Ligue 2","Metz","metz-fr.png"
"Francia","Ligue 2","Ajaccio","ajaccio-fr.png"
"Francia","Ligue 2","Grenoble","grenoble-fr.png"
"Francia","Ligue 2","Guingamp","guingamp-fr.png"
"Francia","Ligue 2","Bastia","bastia-fr.png"
"Francia","Ligue 2","Le Havre","le-havre-fr.png"
"Francia","Ligue 2","Amiens","amiens-fr.png"
"Países Bajos","Eredivisie","Ajax","ajax-nl.png"
"Países Bajos","Eredivisie","PSV Eindhoven","psv-eindhoven-nl.png"
"Países Bajos","Eredivisie","Feyenoord","feyenoord-nl.png"
"Países Bajos","Eredivisie","AZ Alkmaar","az-alkmaar-nl.png"
"Países Bajos","Eredivisie","FC Twente","fc-twente-nl.png"
"Países Bajos","Eredivisie","Utrecht","utrecht-nl.png"
"Países Bajos","Eredivisie","Vitesse","vitesse-nl.png"
"Países Bajos","Eredivisie","Heerenveen","heerenveen-nl.png"
"Países Bajos","Eredivisie","Groningen","groningen-nl.png"
"Países Bajos","Eredivisie","NEC Nijmegen","nec-nijmegen-nl.png"
"Países Bajos","Eredivisie","Sparta Rotterdam","sparta-rotterdam-nl.png"
"Países Bajos","Eredivisie","Go Ahead Eagles","go-ahead-eagles-nl.png"
"Países Bajos","Eerste Divisie","Willem II","willem-ii-nl.png"
"Países Bajos","Eerste Divisie","De Graafschap","de-graafschap-nl.png"
"Países Bajos","Eerste Divisie","Excelsior","excelsior-nl.png"
"Países Bajos","Eerste Divisie","Roda JC","roda-jc-nl.png"
"Países Bajos","Eerste Divisie","FC Den Bosch","fc-den-bosch-nl.png"
"Países Bajos","Eerste Divisie","Jong Ajax","jong-ajax-nl.png"
"Portugal","Primeira Liga","Benfica","benfica-pt.png"
"Portugal","Primeira Liga","Porto","porto-pt.png"
"Portugal","Primeira Liga","Sporting CP","sporting-cp-pt.png"
"Portugal","Primeira Liga","Braga","braga-pt.png"
"Portugal","Primeira Liga","Vitória de Guimarães","vitoria-de-guimaraes-pt.png"
"Portugal","Primeira Liga","Boavista","boavista-pt.png"
"Portugal","Primeira Liga","Famalicão","famalicao-pt.png"
"Portugal","Primeira Liga","Rio Ave","rio-ave-pt.png"
"Portugal","Primeira Liga","Moreirense","moreirense-pt.png"
"Portugal","Primeira Liga","Estoril","estoril-pt.png"
"Portugal","Liga Portugal 2","Académica","academica-pt.png"
"Portugal","Liga Portugal 2","Farense","farense-pt.png"
"Portugal","Liga Portugal 2","Feirense","feirense-pt.png"
"Portugal","Liga Portugal 2","Mafra","mafra-pt.png"
"Portugal","Liga Portugal 2","Penafiel","penafiel-pt.png"
"Portugal","Liga Portugal 2","Chaves","chaves-pt.png"
"Brasil","Brasileirão Série A","Flamengo","flamengo-br.png"
"Brasil","Brasileirão Série A","Palmeiras","palmeiras-br.png"
"Brasil","Brasileirão Série A","São Paulo","sao-paulo-br.png"
"Brasil","Brasileirão Série A","Corinthians","corinthians-br.png"
"Brasil","Brasileirão Série A","Fluminense","fluminense-br.png"
"Brasil","Brasileirão Série A","Grêmio","gremio-br.png"
"Brasil","Brasileirão Série A","Internacional","internacional-br.png"
"Brasil","Brasileirão Série A","Santos","santos-br.png"
"Brasil","Brasileirão Série A","Botafogo","botafogo-br.png"
"Brasil","Brasileirão Série A","Vasco da Gama","vasco-da-gama-br.png"
"Brasil","Brasileirão Série A","Atlético Mineiro","atletico-mineiro-br.png"
"Brasil","Brasileirão Série A","Cruzeiro","cruzeiro-br.png"
"Brasil","Brasileirão Série A","Bahia","bahia-br.png"
"Brasil","Brasileirão Série A","Fortaleza","fortaleza-br.png"
"Brasil","Brasileirão Série A","Athletico Paranaense","athletico-paranaense-br.png"
"Brasil","Brasileirão Série A","Red Bull Bragantino","red-bull-bragantino-br.png"
"Brasil","Série B","Sport Recife","sport-recife-br.png"
"Brasil","Série B","Náutico","nautico-br.png"
"Brasil","Série B","Vila Nova","vila-nova-br.png"
"Brasil","Série B","Ceará","ceara-br.png"
"Brasil","Série B","Guarani","guarani-br.png"
"Brasil","Série B","Ponte Preta","ponte-preta-br.png"
"Brasil","Série B","Coritiba","coritiba-br.png"
"Brasil","Série B","Avaí","avai-br.png"
"Argentina","Liga Profesional","River Plate","river-plate-ar.png"
"Argentina","Liga Profesional","Boca Juniors","boca-juniors-ar.png"
"Argentina","Liga Profesional","Racing Club","racing-club-ar.png"
"Argentina","Liga Profesional","Independiente","independiente-ar.png"
"Argentina","Liga Profesional","San Lorenzo","san-lorenzo-ar.png"
"Argentina","Liga Profesional","Estudiantes de La Plata","estudiantes-de-la-plata-ar.png"
"Argentina","Liga Profesional","Vélez Sarsfield","velez-sarsfield-ar.png"
"Argentina","Liga Profesional","Talleres","talleres-ar.png"
"Argentina","Liga Profesional","Newell's Old Boys","newell-s-old-boys-ar.png"
"Argentina","Liga Profesional","Rosario Central","rosario-central-ar.png"
"Argentina","Liga Profesional","Argentinos Juniors","argentinos-juniors-ar.png"
"Argentina","Liga Profesional","Huracán","huracan-ar.png"
"Argentina","Liga Profesional","Banfield","banfield-ar.png"
"Argentina","Liga Profesional","Lanús","lanus-ar.png"
"Argentina","Liga Profesional","Godoy Cruz","godoy-cruz-ar.png"
"Argentina","Liga Profesional","Defensa y Justicia","defensa-y-justicia-ar.png"
"Argentina","Primera Nacional","Chacarita Juniors","chacarita-juniors-ar.png"
"Argentina","Primera Nacional","Almirante Brown","almirante-brown-ar.png"
"Argentina","Primera Nacional","Quilmes","quilmes-ar.png"
"Argentina","Primera Nacional","Deportivo Morón","deportivo-moron-ar.png"
"Argentina","Primera Nacional","Gimnasia de Jujuy","gimnasia-de-jujuy-ar.png"
"Argentina","Primera Nacional","Nueva Chicago","nueva-chicago-ar.png"
"Argentina","Primera Nacional","Tigre","tigre-ar.png"
"Argentina","Primera Nacional","Almagro","almagro-ar.png"
"Colombia","Categoría Primera A","Atlético Nacional","atletico-nacional-co.png"
"Colombia","Categoría Primera A","Millonarios","millonarios-co.png"
"Colombia","Categoría Primera A","América de Cali","america-de-cali-co.png"
"Colombia","Categoría Primera A","Independiente Santa Fe","independiente-santa-fe-co.png"
"Colombia","Categoría Primera A","Deportivo Cali","deportivo-cali-co.png"
"Colombia","Categoría Primera A","Junior","junior-co.png"
"Colombia","Categoría Primera A","Independiente Medellín","independiente-medellin-co.png"
"Colombia","Categoría Primera A","Once Caldas","once-caldas-co.png"
"Colombia","Categoría Primera A","Deportes Tolima","deportes-tolima-co.png"
"Colombia","Categoría Primera A","Envigado","envigado-co.png"
"Colombia","Categoría Primera A","Deportivo Pasto","deportivo-pasto-co.png"
"Colombia","Categoría Primera A","Alianza Petrolera","alianza-petrolera-co.png"
"Colombia","Categoría Primera A","La Equidad","la-equidad-co.png"
"Colombia","Categoría Primera A","Águilas Doradas","aguilas-doradas-co.png"
"Colombia","Primera B","Real Cartagena","real-cartagena-co.png"
"Colombia","Primera B","Cúcuta Deportivo","cucuta-deportivo-co.png"
"Colombia","Primera B","Bogotá FC","bogota-fc-co.png"
"Colombia","Primera B","Llaneros","llaneros-co.png"
"Colombia","Primera B","Fortaleza CEIF","fortaleza-ceif-co.png"
"Colombia","Primera B","Real San Andrés","real-san-andres-co.png"
"México","Liga MX","Club América","club-america-mx.png"
"México","Liga MX","Chivas Guadalajara","chivas-guadalajara-mx.png"
"México","Liga MX","Cruz Azul","cruz-azul-mx.png"
"México","Liga MX","Pumas UNAM","pumas-unam-mx.png"
"México","Liga MX","Tigres UANL","tigres-uanl-mx.png"
"México","Liga MX","Monterrey","monterrey-mx.png"
"México","Liga MX","Toluca","toluca-mx.png"
"México","Liga MX","Santos Laguna","santos-laguna-mx.png"
"México","Liga MX","León","leon-mx.png"
"México","Liga MX","Pachuca","pachuca-mx.png"
"México","Liga MX","Necaxa","necaxa-mx.png"
"México","Liga MX","Atlas","atlas-mx.png"
"México","Liga MX","Puebla","puebla-mx.png"
"México","Liga MX","Querétaro","queretaro-mx.png"
"México","Liga de Expansión","Mineros de Zacatecas","mineros-de-zacatecas-mx.png"
"México","Liga de Expansión","Correcaminos","correcaminos-mx.png"
"México","Liga de Expansión","Alebrijes de Oaxaca","alebrijes-de-oaxaca-mx.png"
"México","Liga de Expansión","Tampico Madero","tampico-madero-mx.png"
"México","Liga de Expansión","Atlético La Paz","atletico-la-paz-mx.png"
"México","Liga de Expansión","Leones Negros","leones-negros-mx.png"
"Estados Unidos","MLS","LA Galaxy","la-galaxy-us.png"
"Estados Unidos","MLS","LAFC","lafc-us.png"
"Estados Unidos","MLS","Inter Miami","inter-miami-us.png"
"Estados Unidos","MLS","Seattle Sounders","seattle-sounders-us.png"
"Estados Unidos","MLS","Atlanta United","atlanta-united-us.png"
"Estados Unidos","MLS","New York City FC","new-york-city-fc-us.png"
"Estados Unidos","MLS","New York Red Bulls","new-york-red-bulls-us.png"
"Estados Unidos","MLS","Portland Timbers","portland-timbers-us.png"
"Estados Unidos","MLS","Columbus Crew","columbus-crew-us.png"
"Estados Unidos","MLS","Philadelphia Union","philadelphia-union-us.png"
"Estados Unidos","MLS","Orlando City","orlando-city-us.png"
"Estados Unidos","MLS","FC Cincinnati","fc-cincinnati-us.png"
"Estados Unidos","MLS","Austin FC","austin-fc-us.png"
"Estados Unidos","MLS","Nashville SC","nashville-sc-us.png"
"Estados Unidos","USL Championship","Sacramento Republic","sacramento-republic-us.png"
"Estados Unidos","USL Championship","Louisville City","louisville-city-us.png"
"Estados Unidos","USL Championship","San Antonio FC","san-antonio-fc-us.png"
"Estados Unidos","USL Championship","Phoenix Rising","phoenix-rising-us.png"
"Estados Unidos","USL Championship","Indy Eleven","indy-eleven-us.png"
"Estados Unidos","USL Championship","Birmingham Legion","birmingham-legion-us.png"
"Bélgica","Pro League","Club Brujas","club-brujas-be.png"
"Bélgica","Pro League","Anderlecht","anderlecht-be.png"
"Bélgica","Pro League","Genk","genk-be.png"
"Bélgica","Pro League","Standard de Lieja","standard-de-lieja-be.png"
"Bélgica","Pro League","Gante","gante-be.png"
"Bélgica","Pro League","Charleroi","charleroi-be.png"
"Bélgica","Pro League","Amberes","amberes-be.png"
"Bélgica","Pro League","Mechelen","mechelen-be.png"
"Bélgica","Pro League","Union Saint-Gilloise","union-saint-gilloise-be.png"
"Bélgica","Pro League","Cercle Brugge","cercle-brugge-be.png"
"Turquía","Süper Lig","Galatasaray","galatasaray-tr.png"
"Turquía","Süper Lig","Fenerbahçe","fenerbahce-tr.png"
"Turquía","Süper Lig","Beşiktaş","besiktas-tr.png"
"Turquía","Süper Lig","Trabzonspor","trabzonspor-tr.png"
"Turquía","Süper Lig","Başakşehir","basaksehir-tr.png"
"Turquía","Süper Lig","Adana Demirspor","adana-demirspor-tr.png"
"Turquía","Süper Lig","Konyaspor","konyaspor-tr.png"
"Turquía","Süper Lig","Sivasspor","sivasspor-tr.png"
"Turquía","Süper Lig","Kasımpaşa","kas-mpasa-tr.png"
"Turquía","Süper Lig","Alanyaspor","alanyaspor-tr.png"
"Chile","Primera División","Colo-Colo","colo-colo-cl.png"
"Chile","Primera División","Universidad de Chile","universidad-de-chile-cl.png"
"Chile","Primera División","Universidad Católica","universidad-catolica-cl.png"
"Chile","Primera División","Palestino","palestino-cl.png"
"Chile","Primera División","Cobresal","cobresal-cl.png"
"Chile","Primera División","Huachipato","huachipato-cl.png"
"Chile","Primera División","Ñublense","nublense-cl.png"
"Chile","Primera División","Audax Italiano","audax-italiano-cl.png"
"Chile","Primera División","Everton de Viña del Mar","everton-de-vina-del-mar-cl.png"
"Chile","Primera División","Unión Española","union-espanola-cl.png"
"Uruguay","Primera División","Peñarol","penarol-uy.png"
"Uruguay","Primera División","Nacional","nacional-uy.png"
"Uruguay","Primera División","Defensor Sporting","defensor-sporting-uy.png"
"Uruguay","Primera División","Danubio","danubio-uy.png"
"Uruguay","Primera División","Liverpool FC","liverpool-fc-uy.png"
"Uruguay","Primera División","Cerro Largo","cerro-largo-uy.png"
"Uruguay","Primera División","River Plate Montevideo","river-plate-montevideo-uy.png"
"Uruguay","Primera División","Wanderers","wanderers-uy.png"
"Ecuador","LigaPro","Barcelona SC","barcelona-sc-ec.png"
"Ecuador","LigaPro","Emelec","emelec-ec.png"
"Ecuador","LigaPro","LDU Quito","ldu-quito-ec.png"
"Ecuador","LigaPro","Independiente del Valle","independiente-del-valle-ec.png"
"Ecuador","LigaPro","Aucas","aucas-ec.png"
"Ecuador","LigaPro","Deportivo Cuenca","deportivo-cuenca-ec.png"
"Ecuador","LigaPro","Universidad Católica","universidad-catolica-ec.png"
"Ecuador","LigaPro","Delfín","delfin-ec.png"
"Perú","Liga 1","Universitario de Deportes","universitario-de-deportes-pe.png"
"Perú","Liga 1","Alianza Lima","alianza-lima-pe.png"
"Perú","Liga 1","Sporting Cristal","sporting-cristal-pe.png"
"Perú","Liga 1","Cienciano","cienciano-pe.png"
"Perú","Liga 1","Melgar","melgar-pe.png"
"Perú","Liga 1","Cusco FC","cusco-fc-pe.png"
"Perú","Liga 1","Deportivo Municipal","deportivo-municipal-pe.png"
"Perú","Liga 1","ADT","adt-pe.png"
"Japón","J1 League","Vissel Kobe","vissel-kobe-jp.png"
"Japón","J1 League","Yokohama F. Marinos","yokohama-f-marinos-jp.png"
"Japón","J1 League","Kawasaki Frontale","kawasaki-frontale-jp.png"
"Japón","J1 League","Urawa Red Diamonds","urawa-red-diamonds-jp.png"
"Japón","J1 League","Kashima Antlers","kashima-antlers-jp.png"
"Japón","J1 League","Nagoya Grampus","nagoya-grampus-jp.png"
"Japón","J1 League","Sanfrecce Hiroshima","sanfrecce-hiroshima-jp.png"
"Japón","J1 League","Gamba Osaka","gamba-osaka-jp.png"
"Japón","J1 League","Cerezo Osaka","cerezo-osaka-jp.png"
"Japón","J1 League","FC Tokyo","fc-tokyo-jp.png"
"Arabia Saudita","Saudi Pro League","Al-Hilal","al-hilal-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Nassr","al-nassr-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Ittihad","al-ittihad-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Ahli","al-ahli-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Shabab","al-shabab-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Ettifaq","al-ettifaq-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Taawoun","al-taawoun-sa.png"
"Arabia Saudita","Saudi Pro League","Al-Fateh","al-fateh-sa.png"
